2024/06/10	07:51:24	ef5bcc8c-8ada-4316-8770-60c769bddd43	/new-page.html	GET
2024/06/10	07:51:24	5a375176-9155-42c3-a845-fda924b59d18	/css/style.css	GET
2024/06/10	07:51:24	2301cc66-05d2-4c14-bb5b-da56dcd467d3	/img/img1.jpg	GET
2024/06/10	07:51:43	08bb74bf-dc4d-4dbd-8396-153dbc04d03b	/index.html	GET
2024/06/10	07:51:43	61387a46-9bb6-47db-a2e3-29e5e5498f1d	/css/style.css	GET
2024/06/10	07:52:33	d7d48d27-b5ff-4726-827d-bbe1683f7a60	/index.html	GET
2024/06/10	07:52:55	25e015a7-51c4-476e-9952-9e2208243e32	/index.html	GET
2024/06/10	07:52:55	66754be4-1fd6-4786-a652-827177c42b17	/css/style.css	GET
2024/06/14	09:30:42	ca650f41-8ea5-4a71-9694-20582d64453f	GET	undefined	/
2024/06/14	09:30:42	2d6888d5-572f-4ee2-b4e7-869b9ada1726	GET	undefined	/css/style.css
2024/06/14	09:30:42	7840f7fb-5b3e-4ff5-94c4-6bc7e3cae7a1	GET	undefined	/favicon.ico
2024/06/14	09:37:57	f913fbd6-e829-4f2e-9fb2-b3477b5fcc5f	GET	https://www.google.com	/
2024/06/14	09:41:11	8df4b0fd-4919-4e4c-b942-e6713b9de7e7	GET	https://www.google.com	/
2024/06/14	14:34:38	3d4494fe-009f-44a1-967d-1b5ee62996bd	GET	undefined	/
2024/06/14	14:35:04	c2fef06f-2110-4ec2-81f6-9c82f8af326c	GET	undefined	/
2024/06/14	14:35:05	6c3d512b-bc21-45fd-8389-a5e41382aa5b	GET	undefined	/
2024/06/14	14:35:33	9fd38182-66c5-4507-9d1b-3a4c9ed73ea7	GET	https://www.google.com	/
2024/06/14	14:35:51	ea383c42-2ffb-414a-ab3c-f602a0a88d5c	GET	https://www.google.com	/
2024/06/14	14:35:54	c57eaf3f-cc28-489f-9da6-c3a6a1a37f87	GET	undefined	/
2024/06/14	14:42:30	1ea6920b-478f-4dd5-9bfc-4f05c618799a	GET	undefined	/
